"","APMC","Commodity","Year","V1"
"5408","Chikhali","Pigeon Pea (Tur)",2014,0.0842934130016648
"5409","Nandgaon Khandeshwar","Wheat(Husked)",2016,0.0842705699542131
"5410","Patan","Ginger (Fresh)",2014,0.0842580496139353
"5411","Nashik","Shepu",2014,0.0842469983179328
"5412","Shirur","Tamarind",2015,0.0842226275875673
"5413","Lasalgaon","Maize",2014,0.0842143119284395
"5414","Dhamangaon-Rly","Wheat(Husked)",2015,0.0841428086733584
"5415","Bhiwapur","Paddy-Unhusked",2016,0.0841357358465816
"5416","Yeola","Maize",2015,0.0841107344013543
"5417","Daryapur","Black Gram",2014,0.0840858227077367
"5418","Sinner","Bajri",2016,0.0840798137686125
"5419","Pandharpur","Pigeon Pea (Tur)",2016,0.0840488680480134
"5420","Nagbhid","Paddy-Unhusked",2016,0.0840189702421785
"5421","Pune-Manjri","Harbara(Pendi)",2016,0.0840125535870162
"5422","Kada (Ashti)","Sorgum(Jawar)",2015,0.0840023372467163
"5423","Aurangabad","Papai",2014,0.0839559753120975
"5424","Solapur","Black Gram",2014,0.0838894031836281
"5425","Chandur Bajar","Black Gram",2015,0.0838793985005277
"5426","Jalna","Bajri",2016,0.0838715205434611
"5427","Loha","Turmeric",2014,0.0838696853778996
"5428","Chalisgaon","Ground Nut Pods (Dry)",2015,0.0838563374291992
"5429","Bhiwapur","Green Gram",2016,0.0838471386114697
"5430","Washim","Soybean",2016,0.0838008085782727
"5431","Balapur","Sorgum(Jawar)",2015,0.0837663327203116
"5432","Rahuri-Vambori","Green Gram",2014,0.0837559887217013
"5433","Kopargaon","Maize",2015,0.0837535390784831
"5434","Pune","Turmeric",2015,0.0837306511906178
"5435","Nandura","Sorgum(Jawar)",2015,0.0836859684955105
"5436","Vaijapur","Safflower",2016,0.0836637469532508
"5437","Beed","Green Gram",2014,0.0836607216811493
"5438","Aurangabad","Potato",2014,0.0836603715702418
"5439","Varud-Rajura Bazar","Pigeon Pea (Tur)",2014,0.0836326498175415
"5440","Indapur","Rice(Paddy-Hus)",2015,0.0836022176783261
"5441","Naigaon","Soybean",2015,0.083598857907967
"5442","Indapur-Bhigwan","Sunflower",2016,0.0835951210557783
"5443","Lasalgaon-Vinchur","Sorgum(Jawar)",2016,0.083592682254337
"5444","Vaijapur","Sorgum(Jawar)",2014,0.083576859280896
"5445","Kolhapur","Awala",2016,0.0835638842472667
"5446","Lasalgaon","Bajri",2016,0.0834998027372758
"5447","Shrirampur","Chikoo",2014,0.0834784644053383
"5448","Kalyan","Potato",2014,0.0834723280756085
"5449","Tuljapur","Turmeric",2015,0.0834624582553765
"5450","Shrirampur","Green Gram",2014,0.0834569818033556
"5451","Pune","Walvad",2014,0.0834285729807802
"5452","Tasgaon","Tamarind",2015,0.0834154593801406
"5453","Kinwat","Gram",2015,0.0833781558891226
"5454","Akluj","Maize",2014,0.0833246469086385
"5455","Khamgaon","Sorgum(Jawar)",2015,0.0833147494462175
"5456","Indapur","Bajri",2015,0.0832967289554292
"5457","Malkapur","Green Gram",2015,0.0832395013928471
"5458","Tuljapur","Sunflower",2015,0.0832110815920559
"5459","Partur","Cotton",2014,0.0832109826937204
"5460","Kalamb (Os)","Bajri",2015,0.0832040777681548
"5461","Lonand","Bajri",2016,0.0832012538639022
"5462","Balapur","Other Cereals",2015,0.0831890330807703
"5463","Aurangabad","Melon",2014,0.0831890330807703
"5464","Kada","Sesamum",2015,0.0831890330807703
"5465","Kalamnuri","Ground Nut Pods (Dry)",2015,0.0831890330807703
"5466","Chalisgaon","Cluster Bean",2016,0.0831890330807703
"5467","Kamthi","Amla",2014,0.0831890330807703
"5468","Umared","Chillies(Red)",2016,0.0831890330807703
"5469","Ramtek","Ladies Finger",2014,0.0831890330807703
"5470","Pune-Moshi","Raddish",2016,0.0831890330807703
"5471","Shahapur","Mango(Raw)",2015,0.0831890330807703
"5472","Shrirampur","Bajri",2016,0.0831545095566691
"5473","Lasalgaon","Black Gram",2016,0.0831403547548561
"5474","Pune","Coriander (Dry)",2015,0.0831394260389563
"5475","Lakhandur","Linseed",2016,0.0830875624163091
"5476","Lonar","Soybean",2016,0.0830707535450085
"5477","Ghansawangi","Gram",2016,0.0830706625956037
